movie_id,director_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,4
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,3
25,3
26,3
27,3
28,3
29,3
30,5
31,5
32,6
33,7
34,8
35,8
36,8
37,8
38,8
39,8
40,9
41,10
42,10
43,10
44,14
45,10
46,10
47,10
48,10
49,10
50,10
51,11
52,11
53,11
54,11
55,11
56,12
57,14
58,12
59,12
60,12
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,14
70,14
71,14
72,14
73,14
74,14
75,14
76,14
77,14
78,14
79,14
80,14
81,14
82,14
83,14
84,14
85,14
86,14
87,14
88,15
88,16
89,17
90,17
91,17
92,17
93,17
94,18
95,18
96,18
97,18
98,18
99,18
100,18
101,18
102,18
103,18
104,19
105,19
106,19
107,19
108,19
109,19
110,19
111,19
112,19
113,19
114,19
115,19
116,19
117,19
118,19
119,19
120,19
104,20
105,20
106,20
107,20
108,20
109,20
110,20
111,20
112,20
113,20
114,20
115,20
116,20
117,20
118,20
119,20
120,20
121,21
122,22
123,23
124,24
125,22
126,22
127,22
128,25
129,26
130,27
131,6
