firstname,lastname,director_code
Wes,Anderson,wes_anderson_1969
Charlie,Chaplin,charlie_chaplin_1889
Alfred,Hitchcock,alfred_hitchcock_1899
Sergio,Leone,sergio_leone_1929
Francis Ford,Coppola,francis_ford_coppola_1939
Ridley,Scott,ridley_scott_1937
Jean-Luc,Godard,jean_luc_godard_1930
David ,Lynch,david_lynch_1946
William,Friedkin,william_friedkin_1935
Stanley,Kubrick,stanley_kubrick_1928
Jane,Campion,jane_campion_1954
Sofia,Coppola,sofia_coppola_1971
Agnès,Varda,agnes_varda_1928
Steven,Spielberg,steven_spielberg_1946
Robert,Wise,robert_wise_1914
Jerome,Robbins,jerome_robbins_1918
James,Cameron,james_cameron_1954
Quentin,Tarantino,quentin_tarantino_1963
Joel,Coen,joel_coen_1954
Ethan ,Coen,ethan_coen_1957
Stanley,Donen,stanley_donen_1924
George,Lucas,george_lucas_1944
Irvin,Kershner,irvin_kershner_1923
Richard,Marquand,richard_marquand_1933
Joachim,Trier,joachim_trier_1974
Hayao,Miyazaki,hayao_miyazaki_1941
Chloé,Zhao,chloe_zhao_1982
